song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Vivo Na Maré,Dom La Nena,spotify:track:7tajFkPvwmA4IV4vYcdSTy,0.349,0.482,-10.482,0.0435,0.778,0.0012,0.121,0.526,86.027,192996
O Leaozinho,Caetano Veloso,spotify:track:73uSNZI4T90ujov3qvAzb3,0.559,0.163,-17.332,0.0504,0.882,1.64e-05,0.161,0.559,126.028,185667
Shimbalaiê,Maria Gadú,spotify:track:4xISjdYpFEMsAFC2ax7OVE,0.743,0.485,-9.604,0.0452,0.821,0.0,0.0817,0.512,101.975,196907
"Sei la, A Vida Tem Sempre Razao","Carlos Jobin, Miúcha",spotify:track:5rpjOZtPde01BknOySZ08y,0.557,0.486,-10.366,0.0978,0.418,0.0,0.245,0.685,152.593,151373
A Visita,Silva,spotify:track:7lo43I6slQYrmMZQYb99PC,0.74,0.581,-6.466,0.0362,0.659,0.0689,0.199,0.969,103.429,183000
Chuva no mar (feat. Marisa Monte),"Carminho, Marisa Monte",spotify:track:2CjGCepEkmxYIKt4onadvo,0.512,0.19,-13.266,0.0382,0.831,0.0,0.277,0.281,131.39,204533
Trevo de Quatro Folhas (I'm Looking Over a Four-Leaf Clover),Fernanda Takai,spotify:track:4kUI1ixk885ZVAQsfAhSIJ,0.745,0.657,-9.187,0.0318,0.338,0.019,0.201,0.949,124.102,119907
Romaria,Elis Regina,spotify:track:2onPMbsXumicHnkJRewhhI,0.494,0.141,-16.399,0.0355,0.794,0.0,0.111,0.23,87.79,246373
Você Não Presta,Mallu Magalhães,spotify:track:253rM8bzLuRZSH8N5Z3yox,0.604,0.658,-6.596,0.0667,0.184,1.09e-06,0.114,0.825,168.12,235129
Cajueiro,Márcio Faraco,spotify:track:6lKQKK5kimOMyyCFCxbWXP,0.768,0.45,-13.317,0.133,0.803,0.13,0.102,0.581,174.049,183533
明るい表通りで,Lisa Ono,spotify:track:3jRx2pS4ikOiBNQNCJzLlT,0.593,0.626,-4.241,0.0635,0.533,0.0,0.147,0.81,171.627,141960
Águas De Março,"Antônio Carlos Jobim, Elis Regina",spotify:track:3IvzsLgMv2eF5eSXoeP7Xm,0.649,0.375,-14.795,0.134,0.819,0.0,0.12,0.527,143.807,214867
Rua da Consolação,Luca Argel,spotify:track:0vUbhun1mbzAAy5jK9gKYg,0.725,0.164,-16.943,0.052,0.979,0.00485,0.162,0.73,134.695,130889
O Pato,João Gilberto,spotify:track:5xrW9LV5TJQZpqzefvEIfB,0.774,0.359,-14.533,0.0701,0.88,5.21e-05,0.0838,0.961,87.355,118733
Pará,Paula Cavalciuk,spotify:track:4u5NaRypFKO8rzNNQ8DPXx,0.748,0.626,-7.53,0.0367,0.551,0.09,0.107,0.619,92.041,179427
A Banda,Chico Buarque,spotify:track:76cWfrsIopzpOsWDPBjNJ7,0.723,0.517,-9.769,0.0551,0.86,0.0,0.0967,0.961,118.554,131347
Com Essa Cor,Monique Kessous,spotify:track:4wiOIjp0sORceOXuTkNJoi,0.395,0.527,-7.224,0.197,0.61,0.0,0.149,0.48,165.337,168893
Maimbê Dandá,"Daniela Mercury, Carlinhos Brown",spotify:track:1IeKuhWMm5GKjfRq42IuDY,0.828,0.955,-4.416,0.0765,0.0846,0.00166,0.094,0.96,139.989,325760
Caminhos Do Mar,Gal Costa,spotify:track:2WqWgtRsrRyBHVmP0zkoME,0.535,0.545,-9.429,0.0391,0.472,6.27e-05,0.0877,0.388,92.958,255067
Oitavo Andar,Clarice Falcão,spotify:track:0bXGN9NcmezC64rItLPlec,0.696,0.29,-12.138,0.048,0.782,0.0,0.0937,0.704,116.899,134304
Você e Eu - Ao Vivo,Gilberto Gil,spotify:track:3xTqXGQfsuTpCxgku7TznN,0.554,0.233,-20.067,0.0594,0.883,0.0649,0.976,0.52,80.202,298653
Aprender a Sorrir (feat. Vanessa Da Mata),"António Chaínho, Vanessa Da Mata",spotify:track:6KB0XWdO7rp2t31FoepxFj,0.684,0.486,-12.146,0.0514,0.489,3.07e-05,0.259,0.604,127.94,189840
Aquarela,Toquinho,spotify:track:4LhxdvP3lfgH3ciOyO1BX1,0.545,0.306,-20.383,0.0326,0.475,0.0,0.114,0.771,153.168,258507
Sozinho - Live In Brazil / 1998,Caetano Veloso,spotify:track:3usVf6rhG6vDjcodeavHde,0.48,0.283,-14.762,0.187,0.634,0.000168,0.909,0.529,83.736,190450
Anjo Gabriel - Alternate version,Dom La Nena,spotify:track:5Fenrz5jjPAnSfLhrMg7y4,0.66,0.0781,-13.259,0.0523,0.993,0.197,0.098,0.22,111.889,198520
Oração,A Banda Mais Bonita da Cidade,spotify:track:0YBq701BXkMaK6V5UyvOpT,0.425,0.474,-7.806,0.0314,0.613,2.44e-06,0.228,0.379,128.631,301347
Toda Sexta Feira,Belô Velloso,spotify:track:7zWB2SkYjRW9dTZUrjISF5,0.607,0.301,-12.382,0.03,0.674,0.000418,0.149,0.527,128.384,187942
Tô,Tom Zé,spotify:track:6i41Sc46SxGxsLmPBsz3kq,0.862,0.695,-8.883,0.066,0.272,2.17e-06,0.0851,0.966,150.946,164107
Joãozinho Boa Pinta,"Joyce, Dori Caymmi",spotify:track:1cqaZpuQpbrPQGzcnPPHfB,0.742,0.43,-9.332,0.0741,0.931,0.0929,0.171,0.917,92.211,148147
Atraente,"Luis Otávio, Mallu Magalhães",spotify:track:22QtqOOwAShcEEYgEcQvki,0.755,0.503,-10.402,0.152,0.252,1.05e-05,0.0916,0.492,90.256,144169
"Será Amor (Banda Sonora do Filme ""A Canção de Lisboa"")","César Mourão, Luana Martau",spotify:track:76YI9FJcAcPKhpHzEd2Der,0.306,0.304,-10.723,0.0357,0.594,0.000596,0.168,0.416,197.779,177835
Justo Agora,Adriana Calcanhotto,spotify:track:03XYPgWZxNO9wSNgcio8x1,0.743,0.496,-13.227,0.035,0.59,0.0425,0.106,0.827,98.283,223267
Boa Sorte / Good Luck (feat. Ben Harper),"Vanessa Da Mata, Ben Harper",spotify:track:6A3Q8BVAAI2PW1s6MX4ZGF,0.78,0.566,-9.289,0.05,0.323,0.000463,0.0814,0.281,111.019,235600
Oceano (Ao Vivo),Djavan,spotify:track:5hiZnjiGneVZ8qdlBf86VM,0.397,0.281,-10.398,0.034,0.774,6.1e-06,0.841,0.223,83.361,217227
Sambolero,Luiz Bonfá,spotify:track:44SPxt26EgxgqhoOCTE7Y2,0.6,0.0244,-25.019,0.0377,0.965,0.633,0.107,0.594,104.647,173160
Meu Juramento,Márcio Faraco,spotify:track:6laZFRhwRkjYrzfeZCjyJq,0.777,0.466,-12.509,0.0623,0.582,0.026,0.0811,0.818,93.002,253733
Chega de Saudade - Ao vivo,"Roberto Carlos, Caetano Veloso",spotify:track:1lVwcxzdkdRgYDjKQiAhcm,0.368,0.347,-19.449,0.0701,0.478,1.14e-05,0.881,0.57,82.128,274360
Zum-Zum,Edu Lobo,spotify:track:4ApvuCjlZNe3RoIFoBX29y,0.58,0.233,-18.373,0.0487,0.862,0.305,0.18,0.757,97.532,170667
Até Quando?,Gabriel O Pensador,spotify:track:2t6h9r9XgNcZavFQpybk3r,0.69,0.916,-5.334,0.103,0.0154,0.0,0.238,0.796,100.028,261467
Pela Luz dos Olhos Teus - Bonus Track,"Miúcha, Antônio Carlos Jobim",spotify:track:4SpqtLElDsO6KGbd4ub96Z,0.453,0.277,-11.615,0.0592,0.876,0.0,0.118,0.779,116.832,164160
O ouro e a madeira,Lula Pena,spotify:track:0qaM3kQL0NNvLVKdLGxY7Y,0.536,0.187,-18.813,0.0553,0.887,0.596,0.109,0.419,153.97,140387
Chora Cavaquinho,Ceumar,spotify:track:0LQXqi8Rm25uX5xn2bWvpo,0.602,0.295,-14.167,0.0414,0.777,1.01e-05,0.105,0.713,85.159,260251
Sonho Meu,"Maria Bethânia, Gal Costa",spotify:track:2Ci5YgqFVb15XeyYal63eb,0.607,0.319,-20.776,0.111,0.45,0.0,0.0803,0.643,85.877,183333
Cálice,"Chico Buarque, Milton Nascimento",spotify:track:0VUgbCK0k8QWGpLiEV8YYZ,0.596,0.372,-9.391,0.0606,0.848,0.0,0.331,0.293,123.125,241867
1 + 1 = 2,Dois é Par,spotify:track:50a8fxKgn567n9AdK9pcyJ,0.435,0.138,-10.445,0.0369,0.946,1.53e-06,0.107,0.241,120.523,220131
Valsa Pra Biu Roque,Céu,spotify:track:0PTeHqKhzw1LiD1ckprSlc,0.503,0.186,-13.351,0.0374,0.818,4.09e-05,0.241,0.351,73.177,169333
Eu Me Lembro (feat. Silva),Clarice Falcão,spotify:track:7opN62oy6MZBaGgnKdHtng,0.78,0.184,-12.92,0.0407,0.664,0.001,0.118,0.299,95.994,217432
Tum Tum Tum,Roberta Sá,spotify:track:2ucNeWYaPvr1Ni6d7s67SZ,0.695,0.46,-8.513,0.112,0.777,0.0,0.314,0.464,90.251,115520
Panis et Circences,"Rosemary Standley, Dom La Nena, Birds on a Wire",spotify:track:5Fbc9of5EerWl5LDTC3O0a,0.812,0.251,-15.271,0.0881,0.767,7.57e-05,0.182,0.516,135.05,225093
Chovendo Na Roseira,"Elis Regina, Antônio Carlos Jobim",spotify:track:1DkY6xGnHhoNjOplZqSlK6,0.366,0.466,-11.173,0.0513,0.804,0.0207,0.117,0.204,52.156,192040
Modinha Para Gabriela,Gal Costa,spotify:track:5VEGFcYp6RFy8t7N6R3Te0,0.398,0.267,-21.344,0.0668,0.749,1.84e-06,0.113,0.4,167.622,181600
Sítio do Pica Pau Amarelo,Gilberto Gil,spotify:track:48uJPbqDS6sefp91MVbhG9,0.714,0.587,-7.722,0.0446,0.489,0.000185,0.248,0.869,90.823,210320
Wave - Ao vivo,"Roberto Carlos, Caetano Veloso",spotify:track:3rVvxdkKGE6G30tFB9YYCe,0.54,0.294,-20.425,0.14,0.789,0.000391,0.686,0.588,142.926,189133
Trevo (Tu),"ANAVITÓRIA, Tiago Iorc",spotify:track:6bgQIw80xWC3MPZX4kVYGw,0.668,0.372,-8.203,0.0269,0.854,0.000172,0.163,0.246,99.808,205468
Casa Pronta,Mallu Magalhães,spotify:track:7ImZSf3DW8F0W9GiuUG7FC,0.49,0.408,-7.148,0.0433,0.962,2.83e-06,0.0959,0.291,172.326,148173
Choro de Cortar Cebola,"Pierre Aderne, Couple Coffee, José Peixoto",spotify:track:2eLGgW0aqbB7Ul3TUvmsbN,0.715,0.356,-9.436,0.0683,0.829,2.99e-05,0.277,0.409,104.906,208280
Felicidade,"Marcelo Jeneci, Laura Lavieri",spotify:track:7wqojWtf69NNjw3P5wMst6,0.65,0.499,-9.464,0.0286,0.61,0.00101,0.104,0.753,110.297,252600
Iemanjá Rainha do Mar / Beira-Mar,Maria Bethânia,spotify:track:5TGCLU2l5cXw8VYPjkxJr5,0.817,0.422,-11.819,0.118,0.345,0.0,0.13,0.758,93.02,218747
Terra - Ao Vivo,"Caetano Veloso, Gilberto Gil",spotify:track:5yPPyWPuhr4P4lEGgQi41E,0.557,0.166,-15.453,0.046,0.889,0.0147,0.992,0.137,125.746,331453
Eu Sambo Mesmo,Rosa Passos,spotify:track:6WebXVyTtfFw2CRGpKupBt,0.714,0.489,-11.159,0.0555,0.849,0.318,0.102,0.708,177.075,187520
Me Abraça,ANAVITÓRIA,spotify:track:698pbRBIJBnKC2bAt2ENQR,0.803,0.339,-11.13,0.0379,0.827,7.27e-05,0.0876,0.607,94.008,184633
チャタヌガ・チュー・チュー,Lisa Ono,spotify:track:6Pq1Rlye7QqW67pWzX6fEQ,0.462,0.892,-4.18,0.115,0.151,1.85e-06,0.33,0.699,166.284,221947
Meu Amor É Teu,Marcelo Camelo,spotify:track:0HjlbE5iurkc4n2efskB57,0.449,0.424,-7.488,0.0261,0.849,0.00038,0.103,0.466,98.006,334627
Ela,"Danças Ocultas, Dom La Nena",spotify:track:4cmDiUBc9HZQg7A0FMs5sI,0.278,0.282,-10.966,0.0343,0.568,0.00114,0.112,0.508,79.071,262173
Mais Ninguém,Banda do Mar,spotify:track:6uFwhB7gVs7ExCAfJD5BWg,0.649,0.622,-6.781,0.0373,0.156,4.29e-06,0.11,0.62,76.478,168640
Garota de Ipanema - Ao vivo,"Roberto Carlos, Caetano Veloso",spotify:track:6uWfadBhaf5shMcgHOPTLh,0.57,0.257,-20.406,0.0514,0.874,0.000781,0.676,0.423,144.65,235307
Você Não Entende Nada,Gal Costa,spotify:track:5Pfm8BK5twFtRfC6GCq8Ln,0.563,0.641,-13.097,0.0637,0.685,0.000183,0.0757,0.819,145.048,229680
Desafinado,João Gilberto,spotify:track:3ZToifGhsanxF39x6Qlipd,0.463,0.0445,-24.529,0.0776,0.954,0.0549,0.114,0.386,84.902,207560
Menino Do Rio,Caetano Veloso,spotify:track:1gxIpDO4fvjXRJ74Ufw4My,0.708,0.139,-21.431,0.0778,0.787,0.0172,0.11,0.694,139.778,149333
Banzo,Ceumar,spotify:track:56glsZAZr3PbwpEKAjtBUr,0.693,0.441,-6.086,0.12,0.638,0.00426,0.0882,0.721,79.771,209400
Se Fosse Tão Fácil,MAR ABERTO,spotify:track:7yIykS5q8NUniwV3PMeJR3,0.509,0.139,-16.07,0.0385,0.842,0.0,0.182,0.691,95.007,198193
Velha e Louca,Mallu Magalhães,spotify:track:0UtoASDXmEeZklHfKlqz8s,0.726,0.424,-8.682,0.0545,0.814,0.0,0.212,0.719,110.914,165960
Pra Sonhar,"Marcelo Jeneci, Laura Lavieri",spotify:track:2VJOJBlHlSzdsf1uBpReKe,0.583,0.262,-12.139,0.032,0.858,5.13e-05,0.116,0.333,122.299,268640
